timestamp,date,symbol,action,reason,price,qty,ml_prob,score,regime,extra
2026-05-12T02:13:22.283671+00:00,2026-05-12,A,hold,no_buy_signal,115.6038,,,,,
2026-05-12T02:13:22.283671+00:00,2026-05-12,B,hold,no_buy_signal,242.1178,,,,,
2026-05-12T02:13:22.283671+00:00,2026-05-12,C,hold,no_buy_signal,353.5644,,,,,
2026-05-12T02:13:22.283671+00:00,2026-05-12,D,hold,no_buy_signal,135.3436,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-12T02:44:10.242155+00:00,2026-05-12,MA,hold,no_buy_signal,569.0458984375,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-12T02:46:27.954590+00:00,2026-05-12,MA,hold,no_buy_signal,569.0458984375,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-12T02:48:11.114396+00:00,2026-05-12,MA,hold,no_buy_signal,569.0458984375,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-12T02:51:03.731129+00:00,2026-05-12,MA,hold,no_buy_signal,569.0458984375,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-12T20:23:04.600275+00:00,2026-05-12,MA,hold,no_buy_signal,569.0458984375,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-13T19:42:45.590294+00:00,2026-05-13,MA,hold,no_buy_signal,569.0458984375,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-14T17:55:40.305171+00:00,2026-05-14,MA,hold,no_buy_signal,569.0458984375,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,SPY,hold,no_buy_signal,680.062744140625,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,QQQ,hold,no_buy_signal,613.536376953125,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,IWM,hold,no_buy_signal,245.722900390625,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,AAPL,hold,no_buy_signal,271.6058349609375,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,MSFT,hold,no_buy_signal,482.5186767578125,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,GOOGL,hold,no_buy_signal,312.7798156738281,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,AMZN,hold,no_buy_signal,230.82000732421875,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,META,hold,no_buy_signal,659.5253295898438,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,NVDA,hold,no_buy_signal,186.4899139404297,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,AMD,hold,no_buy_signal,214.16000366210938,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,JNJ,hold,no_buy_signal,205.85565185546875,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,PG,hold,no_buy_signal,141.2361602783203,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,KO,hold,no_buy_signal,69.43258666992188,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,JPM,hold,no_buy_signal,319.1398010253906,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,V,hold,no_buy_signal,349.98828125,,,,,
2026-05-18T22:45:40.586642+00:00,2026-05-18,MA,hold,no_buy_signal,569.0458984375,,,,,
